product_id,language_id,name,category_tovara,h2
631,1,Белая орхидея,1127,Купить белая орхидея в Минске
631,2,White Orchid Plant,1127,Buy white orchid plant with delivery to Minsk
721,2,Spathiphyllum Plant,1157,Order spathiphyllum plant with delivery to Belarus
630,2,"Сandy Raffaello, 240gr.",1142,"Fast delivery of сandy raffaello, 240gr. in Minsk"
991,2,Coffee Box №2,1142,Deliver coffee box №2 to Minsk and Belarus
804,2,Hand-tied Bouquet of 5 pink gerberas,1133,Buy hand-tied bouquet of 5 pink gerberas in Minsk
990,1,Чайная корзинка №3,1130,Быстрая доставка чайная корзинка №3 в Минске
990,2,Tea box №3,1130,Order tea box №3 with delivery to Belarus
892,1,Открытка Сердце,1176,Доставить открытка сердце по Минску и Беларуси
659,1,"Кальян зелёный, 60 см.",1163,"Быстрая доставка кальян зелёный, 60 см. в Минске"
659,2,"Hookah, 60 cm, green",1163,"Fast delivery of hookah, 60 cm, green in Minsk"
989,1,Чайная корзинка №2,1130,Доставка чайная корзинка №2 по всей Беларуси
855,2,Multi-colored roses in a Hat Box,1175,Buy multi-colored roses in a hat box in Minsk
679,2,"Soft white toy teddy bear, 38 cm.",1160,"Buy soft white toy teddy bear, 38 cm. in Minsk"
915,1,"Мишка в худи, 23 см",1161,"Доставить мишка в худи, 23 см по Минску и Беларуси"
904,1,Белый лизиантус в коробке,1175,Купить белый лизиантус в коробке в Минске
846,2,Bonsai Tree ??,1157,Order bonsai tree ?? with delivery to Belarus
700,2,"Soft toy teddy bear with scarf, brown",1160,"Buy soft toy teddy bear with scarf, brown in Minsk"
583,1,Букет цветов из 21 красной розы,1104,Купить букет цветов из 21 красной розы в Минске
798,2,Bouquet of 7 white chrysanthemum,1122,Buy bouquet of 7 white chrysanthemum in Minsk
644,1,Букет из 33 розовых роз,1104,Купить букет из 33 розовых роз в Минске
676,1,Каландива в горшке,1157,Закажите каландива в горшке с доставкой в Беларуси
676,2,Calandiva Plant in a pot,1157,Buy calandiva plant in a pot in Minsk
988,2,Tea box №1,1142,Fast delivery of tea box №1 in Minsk
655,1,Рыжий котик,1163,Закажите рыжий котик с доставкой в Беларуси
655,2,Ginger cat,1163,Fast delivery of ginger cat in Minsk
665,1,"Голубой небесный фонарик, 108 см",1167,"Купить голубой небесный фонарик, 108 см в Минске"
987,2,Coffe Box №1,1142,Delivery of coffe box №1 all over Belarus
986,2,Gift box &quot;Sweet gift&quot;,1165,Buy gift box &quot;Sweet gift&quot; in Minsk
879,2,Santa Claus with gifts,1130,Buy santa claus with gifts with delivery to Minsk
854,2,Red roses in a Hat Box,1175,Fast delivery of red roses in a hat box in Minsk
822,1,Букет из 15 белых роз,1104,Быстрая доставка букет из 15 белых роз в Минске
942,1,Плюшевый мишутка с подарками,1142,Купить плюшевый мишутка с подарками в Минске
942,2,Teddy bear with gifts,1142,Delivery of teddy bear with gifts all over Belarus
820,1,Букет из 27 розовых роз,1104,Доставка букет из 27 розовых роз по всей Беларуси
941,1,Сладкая корзинка с розой и мишкой,1142,Купить сладкая корзинка с розой и мишкой в Минске
979,1,Букет из 63 красных роз,1104,Купить букет из 63 красных роз в Минске
929,2,Gift set №1,1176,Buy gift set №1 with delivery to Minsk
983,2,Royal Orchid Pink,1127,Deliver royal orchid pink to Minsk and Belarus
750,2,My sweet...,1165,Fast delivery of my sweet... in Minsk
909,1,Композиция из гербер,1139,Доставка композиция из гербер по всей Беларуси
978,2,Flowers in envelop,1175,Fast delivery of flowers in envelop in Minsk
831,1,Букет из роз и эустом,1104,Доставка букет из роз и эустом по всей Беларуси
928,1,Подарочный пакет №1,1176,Доставка подарочный пакет №1 по всей Беларуси
927,2,"Balloon Heart, with air",1167,"Buy balloon heart, with air with delivery to Minsk"
792,1,Букет из 11 розовых хризантем,1122,Купить букет из 11 розовых хризантем в Минске
748,2,Soft toy &quot;Teddy Umka&quot;,1160,Buy soft toy &quot;Teddy Umka&quot; in Minsk
934,2,Bouquet of flowers &quot;Grace&quot;,1122,Buy bouquet of flowers &quot;Grace&quot; in Minsk
662,1,3 разноцветных гелиевых шара,1110,Купить 3 разноцветных гелиевых шара в Минске
661,2,Lantern pendant &quot;Frog&quot;,1147,Buy lantern pendant &quot;Frog&quot; in Minsk
992,1,Кофейная корзинка №3,1142,Быстрая доставка кофейная корзинка №3 в Минске
689,2,"Soft toy dog &quot;Buf&quot;, coffee",1160,"Buy soft toy dog &quot;Buf&quot;, coffee in Minsk"
952,1,Букет из красных гвоздик,1174,Доставка букет из красных гвоздик по всей Беларуси
716,2,Bouquet of 21 Yellow Roses,1104,Buy bouquet of 21 yellow roses in Minsk
982,2,Royal Orchid White,1127,Buy royal orchid white with delivery to Minsk
981,2,Royal Orchid Yellow,1127,Fast delivery of royal orchid yellow in Minsk
973,1,Мини орхидея с подарками,1142,Купить мини орхидея с подарками в Минске
973,2,Mini orchid with gifts,1142,Buy mini orchid with gifts with delivery to Minsk
1020,2,Bouquet of cymbidiums with decoration,1127,Buy bouquet of cymbidiums with decoration in Minsk
1028,1,Цветы в сумочке,1150,Доставка цветы в сумочке по всей Беларуси
1028,2,Flowers in a handbag,1150,Buy flowers in a handbag in Minsk
