product_id,language_id,name,h2
733,1,"Оформите заказ на горшечное растение пуансеттия с доставкой Минск, Беларусь",**Закажите пуансеттию с доставкой по Минску - украсьте свой дом!**
733,2,Buy red poinsettia plant &quot;Christmas Star&quot; in Minsk,"""Shop the Festive Red Poinsettia Plant 'Christmas Star' in Minsk"""
829,1,"Оформите заказ на букет из красных, розовых и белых роз &quot;Вдохновение&quot; с доставкой Минск, Беларусь","Закажите букет ""Вдохновение"" из роз с доставкой в Минск!"
829,2,"Place an order for bouquet of red, pink &amp; white roses &quot;Inspiration&quot; with delivery Minsk, Belarus","### Order ""Inspiration"" Bouquet of Red, Pink & White Roses in Minsk!"
838,1,Купить букет из жёлтых и белых хризантем &quot;Лучик Солнца&quot; в Минске,"Купить букет ""Лучик Солнца"" из жёлтых и белых хризантем в Минске"
838,2,Order bouquet of yellow &amp; white chrysanthemums &quot;Ray of the Sun&quot; with delivery to Belarus,"""Order 'Ray of the Sun' Yellow & White Chrysanthemums to Belarus"""
850,1,"Доставка фольгированный шарик &quot;С Днём Рождения&quot;, №2 по всей Беларуси","""Доставка фольгированного шарика 'С Днём Рождения' по всей Беларуси!"""
850,2,Fast delivery of foil&amp;mylar balloon &quot;Black star&quot; filled with helium № 73 in Minsk,"""Fast Delivery of Helium-Filled Black Star Foil & Mylar Balloon #73"""
967,1,Доставить сувенир королевские шахматы по Минску и Беларуси,Доставка сувенира: королевские шахматы по Минску и Беларуси
967,2,Order souvenir royal chess with delivery to Belarus,"""Order Royal Chess Souvenirs with Delivery to Belarus Today!"""
650,1,Лучшие цены на букет из хризантем и альстромерий &quot;Гармония жизни&quot; с доставкой по Минску,"""Лучшие цены на букет хризантем и альстромерий в Минске!"""
650,2,Delivery of bouquet of chrisantemums and alstromeria &quot;Harmony&quot; in Minsk - convenient and fast,"""Fast Delivery of Chrysanthemums & Alstroemeria 'Harmony' in Minsk"""
966,1,Купить открытка &quot;Поздравляем&quot; №1 в Минске,"Купить открытку ""Поздравляем"" №1 в Минске - сделайте праздник ярче!"
966,2,Deliver postcard &quot;Congratulations&quot; №1 to Minsk and Belarus,"""Celebrate with Our 'Congratulations' Postcard №1 - Shop Now!"""
721,1,Доставка горшечное растение &quot;Спатифиллум&quot; по всей Беларуси,"Доставка горшечного растения ""Спатифиллум"" по всей Беларуси"
630,1,"Доставить конфеты raffaello, 240 г. по Минску и Беларуси",Доставка конфет Raffaello 240 г по Минску и Беларуси!
761,1,Доставка букет из 39 красных тюльпанов по Минску – удобно и быстро,Доставка букета из 39 красных тюльпанов по Минску за считанные минуты
761,2,Buy bouquet of 39 red tulips with delivery to Minsk,"""Order Stunning 39 Red Tulips Bouquet with Delivery to Minsk!"""
924,1,"Доставка открытка &quot;Люблю&quot; №1, ручная работа по всей Беларуси","Доставка открытки ""Люблю"" №1: Ручная работа по всей Беларуси"
924,2,"Delivery of postcard &quot;Love&quot; №1, handmade in Minsk - convenient and fast","""Shop Handmade Postcard 'Love' №1 - Fast Delivery from Minsk"""
747,1,"Купить игрушка дисней &quot;Хрюник&quot;, 40 см. с доставкой по Минску","Купить игрушку Дисней ""Хрюник"" (40 см) с доставкой по Минску!"
747,2,"Order soft toy &quot;Piggy&quot;, 40 сm with delivery to Belarus","Order Soft Toy ""Piggy"" - 40 cm Delivery Available to Belarus!"
613,1,"Оформите заказ на букет из роз &quot;Для моей любимой&quot; с доставкой Минск, Беларусь","## Закажите букет из роз ""Для моей любимой"" с доставкой в Минск!"
613,2,Fast delivery of bouquet of roses &quot;For My Darling&quot; in Minsk,"**Fast Delivery of ""For My Darling"" Rose Bouquets in Minsk**"
604,1,"Оформите заказ на букет лилий &quot;Ароматное событие&quot; с доставкой Минск, Беларусь","Закажите букет лилий ""Ароматное событие"" с доставкой в Минск"
604,2,Buy bouquet of flowers &quot;Fragrant event&quot; in Minsk,"""Shop the 'Fragrant Event' Bouquet of Flowers in Minsk Today!"""
849,1,"Оформите заказ на подарочный набор из красных роз, гелиевого шарика и сувенира ангел с доставкой Минск, Беларусь","Закажите подарочный набор: красные розы, шарик и ангел в Минск!"
849,2,Order red roses&amp; silver helium balloon mylar gift set for angel with delivery to Belarus,"""Order Red Roses & Silver Helium Balloon Gift Set for Angel in Belarus"""
705,1,"Доставить фольгированный шарик &quot;Красная звезда&quot;, №1 по Минску и Беларуси","Доставка фольгированного шарика ""Красная звезда"" по Минску и Беларуси"
705,2,Best prices for foil&amp;mylar balloon &quot;Red star&quot; filled with helium № 70 with delivery to Minsk,"""Shop Best Prices for Red Star Helium Foil & Mylar Balloons!"""
858,1,Закажите плюшевый мишка с сердцем с доставкой в Беларуси,"""Закажите плюшевого мишку с сердцем с доставкой в Беларусь!"""
858,2,Fast delivery of soft toy &quot;Teddy Bear with heart&quot; in Minsk,"""Fast Delivery: Soft Toy 'Teddy Bear with Heart' in Minsk!"""
649,1,Быстрая доставка букет лилий &quot;Цветочный фонтан&quot; в Минске,"""Быстрая доставка букета лилий 'Цветочный фонтан' в Минске"""
649,2,Deliver bouquet of lilies &quot;Flower fountain&quot; to Minsk and Belarus,"""Deliver Stunning 'Flower Fountain' Lilies to Minsk, Belarus"""
576,1,Доставка букет из 35 белых роз &quot;Волшебное утро&quot; по всей Беларуси,"Доставка букета из 35 белых роз ""Волшебное утро"" по Беларуси"
576,2,Deliver bouquet of 35 white roses to Minsk and Belarus,"""Deliver Stunning 35 White Roses Bouquet to Minsk, Belarus Today!"""
782,1,Закажите букет из разноцветных альстромерий &quot;Салют&quot; с доставкой в Беларуси,"Закажите яркий букет альстромерий ""Салют"" с доставкой в Беларусь!"
782,2,Buy many-colored alstroemeria bouquet  &quot;Salute&quot; with delivery to Minsk,"""Colorful Alstroemeria Bouquet 'Salute' with Delivery to Minsk!"""
773,1,Доставить цветочная корзина &quot;Белые хризантемы&quot; по Минску и Беларуси,"Доставка цветочной корзины ""Белые хризантемы"" по Минску и Беларуси"
773,2,Buy flower basket &quot;White Chrysanthemums&quot; in Minsk,"""Buy Stunning White Chrysanthemums Flower Basket in Minsk Today!"""
713,1,Доставить букет из 7 красных роз &quot;Пламя&quot; по Минску и Беларуси,"Доставка букета из 7 красных роз ""Пламя"" по Минску и Беларуси"
713,2,Best prices for bouquet of 7 red roses &quot;Flame&quot; with delivery to Minsk,"""Shop Best Prices on 7 Red Roses 'Flame' Bouquets Delivered to Minsk"""
805,1,"Оформите заказ на букет из разноцветных гербер &quot;Реальная Любовь&quot; с доставкой Минск, Беларусь","**Закажите разноцветные герберы ""Реальная Любовь"" с доставкой в Минск**"
805,2,Best prices for hand-tied bouquet of multi colored gerberas &quot;Love Actually&quot; with delivery to Minsk,"""Best Prices on Hand-Tied Multi-Colored Gerbera Bouquets in Minsk"""
755,1,"Доставка фольгированный шарик &quot;Роза&quot;, №60 по Минску – удобно и быстро","Доставка фольгированного шарика ""Роза"" №60 по Минску быстро!"
755,2,Buy foil&amp;mylar balloon &quot;Rose&quot; filled with helium № 60 with delivery to Minsk,"""Shop 'Rose' Foil & Mylar Helium Balloon № 60 with Minsk Delivery!"""
601,1,Доставить букет из роз и лилий &quot;Розовая песня&quot; по Минску и Беларуси,"Доставьте букет роз и лилий ""Розовая песня"" по Минску и Беларуси!"
601,2,"Place an order for flowers bouquet &quot;lilys &amp; pink roses hand-tied&quot; with delivery Minsk, Belarus",### Order Beautiful Lilies & Pink Roses Hand-Tied Bouquet for Minsk
760,1,Быстрая доставка букет из тюльпанов и роз &quot;Нежность&quot; в Минске,"""Быстрая доставка букета из тюльпанов и роз 'Нежность' в Минске"""
760,2,Best prices for bouquet of tulips&amp; roses &quot;Tenderness&quot; with delivery to Minsk,"""Discover Best Prices for Tulip & Rose Bouquets 'Tenderness' in Minsk"""
991,1,Доставить кофейная корзинка №2 по Минску и Беларуси,Доставьте кофейную корзинку №2 по Минску и Беларуси с любовью!
