id_tovara,id_language,name_tovara,category_tovara,h2
733,1,Горшечное растение Пуансеттия,1157,"Оформите заказ на горшечное растение пуансеттия с доставкой Минск, Беларусь"
733,2,Red Poinsettia plant &quot;Christmas Star&quot;,1157,Buy red poinsettia plant &quot;Christmas Star&quot; in Minsk
829,1,"Букет из красных, розовых и белых роз &quot;Вдохновение&quot;",1104,"Оформите заказ на букет из красных, розовых и белых роз &quot;Вдохновение&quot; с доставкой Минск, Беларусь"
829,2,"Bouquet of Red, Pink &amp; White Roses &quot;Inspiration&quot;",1104,"Place an order for bouquet of red, pink &amp; white roses &quot;Inspiration&quot; with delivery Minsk, Belarus"
838,1,Букет из жёлтых и белых хризантем &quot;Лучик Солнца&quot;,1122,Купить букет из жёлтых и белых хризантем &quot;Лучик Солнца&quot; в Минске
838,2,Bouquet of Yellow &amp; White Chrysanthemums &quot;Ray of the Sun&quot;,1122,Order bouquet of yellow &amp; white chrysanthemums &quot;Ray of the Sun&quot; with delivery to Belarus
850,1,"Фольгированный шарик &quot;С Днём Рождения&quot;, №2",1167,"Доставка фольгированный шарик &quot;С Днём Рождения&quot;, №2 по всей Беларуси"
850,2,Foil&amp;Mylar Balloon &quot;Black star&quot; filled with Helium № 73,1167,Fast delivery of foil&amp;mylar balloon &quot;Black star&quot; filled with helium № 73 in Minsk
967,1,Сувенир Королевские шахматы,1163,Доставить сувенир королевские шахматы по Минску и Беларуси
967,2,Souvenir Royal Chess,1163,Order souvenir royal chess with delivery to Belarus
650,1,Букет из хризантем и альстромерий &quot;Гармония жизни&quot;,1122,Лучшие цены на букет из хризантем и альстромерий &quot;Гармония жизни&quot; с доставкой по Минску
650,2,Bouquet of chrisantemums and Alstromeria &quot;Harmony&quot;,1122,Delivery of bouquet of chrisantemums and alstromeria &quot;Harmony&quot; in Minsk - convenient and fast
966,1,Открытка &quot;Поздравляем&quot; №1,1176,Купить открытка &quot;Поздравляем&quot; №1 в Минске
966,2,Postcard &quot;Congratulations&quot; №1,1176,Deliver postcard &quot;Congratulations&quot; №1 to Minsk and Belarus
721,1,Горшечное растение &quot;Спатифиллум&quot;,1157,Доставка горшечное растение &quot;Спатифиллум&quot; по всей Беларуси
630,1,"Конфеты Raffaello, 240 г.",1142,"Доставить конфеты raffaello, 240 г. по Минску и Беларуси"
761,1,Букет из 39 красных тюльпанов,1164,Доставка букет из 39 красных тюльпанов по Минску – удобно и быстро
761,2,Bouquet of 39 Red Tulips,1164,Buy bouquet of 39 red tulips with delivery to Minsk
924,1,"Открытка &quot;Люблю&quot; №1, ручная работа",1176,"Доставка открытка &quot;Люблю&quot; №1, ручная работа по всей Беларуси"
924,2,"Postcard &quot;Love&quot; №1, handmade",1176,"Delivery of postcard &quot;Love&quot; №1, handmade in Minsk - convenient and fast"
747,1,"Игрушка дисней &quot;Хрюник&quot;, 40 см.",1160,"Купить игрушка дисней &quot;Хрюник&quot;, 40 см. с доставкой по Минску"
747,2,"Soft toy &quot;Piggy&quot;, 40 сm",1160,"Order soft toy &quot;Piggy&quot;, 40 сm with delivery to Belarus"
613,1,Букет из роз &quot;Для моей любимой&quot;,1104,"Оформите заказ на букет из роз &quot;Для моей любимой&quot; с доставкой Минск, Беларусь"
613,2,Bouquet of Roses &quot;For My Darling&quot;,1104,Fast delivery of bouquet of roses &quot;For My Darling&quot; in Minsk
604,1,Букет лилий &quot;Ароматное событие&quot;,1127,"Оформите заказ на букет лилий &quot;Ароматное событие&quot; с доставкой Минск, Беларусь"
604,2,Bouquet of Flowers &quot;Fragrant event&quot;,1127,Buy bouquet of flowers &quot;Fragrant event&quot; in Minsk
849,1,"Подарочный набор из Красных роз, гелиевого шарика и сувенира Ангел",1104,"Оформите заказ на подарочный набор из красных роз, гелиевого шарика и сувенира ангел с доставкой Минск, Беларусь"
849,2,Red Roses&amp; Silver Helium Balloon Mylar Gift Set For Angel,1104,Order red roses&amp; silver helium balloon mylar gift set for angel with delivery to Belarus
705,1,"Фольгированный шарик &quot;Красная звезда&quot;, №1",1167,"Доставить фольгированный шарик &quot;Красная звезда&quot;, №1 по Минску и Беларуси"
705,2,Foil&amp;Mylar Balloon &quot;Red star&quot; filled with Helium № 70,1167,Best prices for foil&amp;mylar balloon &quot;Red star&quot; filled with helium № 70 with delivery to Minsk
858,1,Плюшевый мишка с сердцем,1107,Закажите плюшевый мишка с сердцем с доставкой в Беларуси
