product_id,language_id,name,description,tag,meta_title,meta_description,meta_keyword,updates_meta,meta_h1,seo_keyword,seo_h1,seo_h2,seo_h3,image_title,image_alt
851,2,"Soft toy teddy bear with heart, brown","&lt;p&gt; &lt;strong&gt;Product ID:&lt;/strong&gt; 33562&lt;br /&gt; &lt;strong&gt;Width:&lt;/strong&gt; 17 cm.&lt;br /&gt; &lt;strong&gt;Height:&lt;/strong&gt; 23 cm.&lt;br /&gt; &lt;strong&gt;Made: &lt;/strong&gt;Belarus&lt;/p&gt; &lt;p&gt; Please, familiarize with the &lt;a href=&quot;/delivery-terms-of-international-orders&quot; target=&quot;_blank&quot;&gt;Delivery terms of international orders&lt;/a&gt;. Pay attention that goods presented in section &quot;Soft toys&quot; are passed to shipping &lt;strong&gt;only together with flower production&lt;/strong&gt;. Soft toys, cards, chocolates and candies may vary in shape and appearance, but will match the quality and the number of subs.&lt;/p&gt;",,"Order Soft toy teddy bear with heart, brown Online - Presents Delivery to Minsk, Belarus and International.",,,0,"Soft toy teddy bear with heart, brown",,,,,,
841,2,"Bouquet of chrysanthemums, alstroemeria and roses &quot;Bright Colors of the Day&quot; ","&lt;div&gt;
	&lt;p&gt;
		Flower arrangement of Pink roses, chrysanthemums and seasonal flowers is a great way to start the day, whether you are the one giving or receiving the bouquet. This round bouquet is full of happiness and energy, with the power to brighten up any day of your Loved Ones. &lt;/p&gt;
&lt;/div&gt;
&lt;div&gt;
	&lt;strong &gt;Flowers: &lt;/strong&gt;Round bouquet of 5 pink roses, 4-5 white alstroemerias, 3 white spray camomile chrysanthemums, with greens, pink ribbon.  **The vase is not included.&lt;br /&gt;
	&lt;strong &gt;Product name:&lt;/strong&gt; Bouquet of chrysanthemums, alstroemeria and roses &quot;Bright Colors of the Day&quot;&lt;br  /&gt;
	&lt;strong &gt;Product ID:&lt;/strong&gt; 20055&lt;br  /&gt;
	&lt;strong &gt;Sizes: diameter:&lt;/strong&gt; 25-30 cm, height: 50-60 cm.&lt;/div&gt;
&lt;div&gt;
	 &lt;/div&gt;
&lt;div&gt;
	&lt;span &gt;Service supplier location: Minsk, Belarus. International Flower Delivery: by local Teleflora florist. Same Day. Guarantee.&lt;/span&gt;&lt;/div&gt;
&lt;div&gt;
	 &lt;/div&gt;
&lt;div&gt;
	Please, familiarize with the &lt;a href=&quot;/delivery-terms-of-international-orders&quot;  target=&quot;_blank&quot;&gt;Delivery terms of international orders&lt;/a&gt;.&lt;/div&gt;",,"Order Bouquet of chrysanthemums, alstroemeria and roses &quot;Bright Colors of the Day&quot; &amp;#9825; Online - Flowers delivery in Minsk, Belarus and International","Order bouquet of chrysanthemums, alstroemeria and roses 'Bright Colors of the Day' online – Flower-shop.by – flowers delivery in Minsk, Belarus and International.","rose, pink rose, send pink roses to Belarus, send pink roses to Minsk, pink roses delivery in Belarus, pink roses delivery in Minsk, pink roses bouquet",0,"Bouquet of chrysanthemums, alstroemeria and roses &quot;Bright Colors of the Day&quot; &amp;#9825;",,,,,,
829,2,"Bouquet of Red, Pink &amp; White Roses &quot;Inspiration&quot;","&lt;div&gt;
	Bouquet &quot;Inspiration&quot;: Inspire your loved one with this beautiful bouquet of red, pink, and white roses. Perfect for a special occasion or simply to show your appreciation, this bouquet is a stunning expression of love and affection.&lt;/div&gt;
&lt;div&gt;
	 &lt;/div&gt;
&lt;div&gt;
	&lt;strong&gt;Composition&lt;/strong&gt;: 11 red roses, 10 pink roses, 5 white bush roses, 5 pink bush roses, 5 branches of limonium, red bow. Vase not included.&lt;br /&gt;
	&lt;strong&gt;Dimensions&lt;/strong&gt;: height &ndash; 55-60 cm, diameter &ndash; 40 cm.&lt;br /&gt;
	&lt;strong&gt;Supplier&lt;/strong&gt;: &quot;ZIVIS-Opt&quot;. Minsk, Belarus.&lt;br /&gt;
	&lt;strong&gt;Country of origin&lt;/strong&gt;: Netherlands / Ecuador.&lt;/div&gt;
&lt;div&gt;
	 &lt;/div&gt;
&lt;div&gt;
	Service supplier location: Minsk, Belarus. International Flower Delivery: by local Teleflora florist. Same Day. Guarantee.&lt;/div&gt;
&lt;div&gt;
	 &lt;/div&gt;
&lt;div&gt;
	Please, familiarize with the &lt;a href=&quot;/delivery-terms-of-international-orders&quot;  target=&quot;_blank&quot;&gt;Delivery terms of international orders&lt;/a&gt;.&lt;/div&gt;",,"Send a bouquet of red, pink and white roses &quot;Inspiration&quot; with delivery to Minsk, Belarus","Send Bouquet of Red, Pink&amp;White Roses 'Inspiration' Online – Flower-shop.by – Flowers delivery to Minsk, Belarus and International.","Multy-colored roses, many-colored roses, rainbow roses, assorted Roses,  send rainbow roses to Belarus, send rainbow roses to Minsk, rainbow roses delivery in Belarus, rainbow roses delivery in Minsk, rainbow roses bouquet",0,"Bouquet of Red, Pink &amp; White Roses &quot;Inspiration&quot;",,,,,,
827,2,Round Bouquet of 19 Red Roses,"&lt;p&gt;
	&lt;strong&gt;Send&lt;/strong&gt; gorgeous long stemmed &lt;strong&gt;red roses&lt;/strong&gt; to your Loved Ones for birthday or any occasion.  Guarantee freshness for up to 7 days.&lt;/p&gt;
&lt;p&gt;
	&lt;strong&gt;Flowers:&lt;/strong&gt; Round bouquet of 19 red long stemmed roses, in green felt with red ribbon.&lt;br /&gt;
	&lt;strong&gt;Product name:&lt;/strong&gt; Round bouquet of 19 red roses&lt;br /&gt;
	&lt;strong&gt;Product ID:&lt;/strong&gt; 20041&lt;br /&gt;
	&lt;strong&gt;Sizes:&lt;/strong&gt; diameter: 35-40 cm, height: 60-70 cm.&lt;/p&gt;
&lt;p&gt;
	Service supplier location: Minsk, Belarus. International Flower Delivery: by local Teleflora florist. Same Day. Guarantee.&lt;/p&gt;
&lt;p&gt;
	Please, familiarize with the &lt;a href=&quot;/delivery-terms-of-international-orders&quot; target=&quot;_blank&quot;&gt;Delivery terms of international orders&lt;/a&gt;.&lt;/p&gt;",,"Send Bouquet of 19 Red Roses Online – Flowers Delivery in Minsk, Belarus","Send Bouquet of 19 Red Roses Online – Flower-shop.by Flowers Delivery in Minsk, Belarus","rose, red rose, send red roses to Belarus, send red roses to Minsk, red roses delivery in Belarus, red roses delivery in Minsk, red roses bouquet",0,Round Bouquet of 19 Red Roses,,,,,,
828,1,Цветочная композиция из розовых роз в коробке,"&lt;div&gt;
	&lt;p&gt;
		&lt;b&gt;Состав:&lt;/b&gt; 4 оранжевые розы, 4 персиковые или жёлтые розы, ветки эвкалипта, ветки зелёного лимониума, флористическая губка.&lt;br /&gt;
		&lt;b&gt;Размер:&lt;/b&gt; высота &ndash; 15 см.&lt;br /&gt;
		&lt;b&gt;Номер товара:&lt;/b&gt;  Цветочная композиция из розовых роз в коробке № 20042.&lt;br /&gt;
		&lt;b&gt;Поставщик:&lt;/b&gt; ООО &laquo;ЗиВиС-Опт&raquo;. Минск, Беларусь &lt;br /&gt;
		&lt;b&gt;Страна происхождения:&lt;/b&gt; цветы Нидерланды / Эквадор.&lt;/p&gt;
	&lt;p&gt;
		Пожалуйста, ознакомьтесь с &lt;a href=&quot;/pravila-dostavki-mezhdunarodnyh-zakazov&quot; target=&quot;_blank&quot;&gt;&laquo;Правилами международной доставки&raquo;&lt;/a&gt;.&lt;/p&gt;
&lt;/div&gt;",,"Купить цветочную композицию из розовых роз в коробке с доставкой по Минску, Беларуси и миру","Цветочная композиция из ярких роз в Минск. Мы — это подход к каждому клиенту, профессиональные флористы, бережное отношение. Sendflowers.by – доставка цветов и подарков по Беларуси и по миру.","роза, радужная роза, разноцветная роза, доставка радужных роз по Минску, доставка радужных роз по Беларуси, букет из радужных роз, заказать радужную розу с доставкой по Минску, заказать радужную розу с доставкой по Беларуси",0,Цветочная композиция из розовых роз в коробке,,,,,,
828,2,Arrangement of Bright&amp; Dark Pink Roses in a Box,"&lt;div&gt;
	&lt;strong&gt;Flowers:&lt;/strong&gt; Arrangement of 4 dark pink roses, 4 bright pink roses, with greens (&lt;span &gt;limonium, eucalyptus)&lt;/span&gt;, flora for flowers + box.&lt;br /&gt;
	&lt;strong&gt;Product name:&lt;/strong&gt; Arrangement of Bright&Dark Pink Roses in a Box&lt;br /&gt;
	&lt;strong&gt;Product ID:&lt;/strong&gt; 20042&lt;br /&gt;
	&lt;strong&gt;Sizes:&lt;/strong&gt; height: 15 cm.&lt;/div&gt;
&lt;div&gt;
	 &lt;/div&gt;
&lt;div&gt;
	Service supplier location: Minsk, Belarus. International Flower Delivery: by local Teleflora florist. Same Day. Guarantee.&lt;/div&gt;
&lt;p&gt;
	Please, familiarize with the &lt;a href=&quot;/delivery-terms-of-international-orders&quot; target=&quot;_blank&quot;&gt;Delivery terms of international orders&lt;/a&gt;.&lt;/p&gt;",,"Send Arrangement of Bright&amp; Dark Pink Roses in a Box Online - Flowers delivery to Minsk, Belarus and International","Send Arrangement of Bright&amp; Dark Pink Roses in a Box Online - Flower-shop.by Flowers delivery to Minsk, Belarus and International","Multy-colored roses, many-colored roses, rainbow roses, assorted Roses,  send rainbow roses to Belarus, send rainbow roses to Minsk, rainbow roses delivery in Belarus, rainbow roses delivery in Minsk, rainbow roses bouquet",0,Arrangement of Bright&amp; Dark Pink Roses in a Box,,,,,,
829,1,"Букет из красных, розовых и белых роз &quot;Вдохновение&quot;","&lt;div&gt;
	&lt;p&gt;
		Букет &quot;Вдохновение&quot;: Вдохновите своего любимого человека этим прекрасным букетом из красных, розовых и белых роз. Идеальный для особого случая или просто чтобы выразить свою признательность, этот букет станет потрясающим выражением любви и привязанности.&lt;/p&gt;
	&lt;p&gt;
		&lt;b&gt;Состав:&lt;/b&gt; 11 красных роз, 10 розовых роз, 5 белых кустовых роз, 5 розовых кустовых роз, 5 веток лимониума, красный бант. Ваза не включена.&lt;br /&gt;
		&lt;b&gt;Размер:&lt;/b&gt; высота &ndash; 55-60 см, диаметр &ndash; 40 см.&lt;br /&gt;
		&lt;b&gt;Поставщик:&lt;/b&gt; ООО &laquo;ЗиВиС-Опт&raquo;. Минск, Беларусь.&lt;br /&gt;
		&lt;b&gt;Страна происхождения:&lt;/b&gt; Нидерланды / Эквадор.&lt;/p&gt;
&lt;/div&gt;",,"Купить букет из красных, розовых и белых роз &quot;Вдохновение&quot; с доставкой по Минску, Беларуси","Букет из из красных и розовых роз микс 'Вдохновенная Идея' в Минск. Мы — это незабываемые впечатления клиента, хорошее настроение получателя, свежие цветы. Sendflowers.by – доставка цветов и подарков по Беларуси и за границу.","Букеты из разноцветных радужных роз. Огромный выбор букетов для любого события и вежливые курьеры. Sendflowers.by - бережная доставка цветов и подарков на дом по Минску, Беларуси и миру",0,"Букет из красных, розовых и белых роз &quot;Вдохновение&quot;",,,,,,
843,2,Gift basket of sweets &quot;For Lovers&quot;,"&lt;p&gt;
	&lt;strong&gt;Components: &lt;/strong&gt;Boxes of chocolates 5 pcs.( including boxes of chocolates: «Rafaello» 150 gr., floral material, red ribbon, basket with handle .&lt;br /&gt;
	&lt;strong&gt;Product name: &lt;/strong&gt;Gift basket of sweets &quot;For Lovers&quot;&lt;br /&gt;
	&lt;strong&gt;Product ID:&lt;/strong&gt; 10-18&lt;/p&gt;
&lt;p&gt;
	Service supplier location: Minsk, Belarus. International Flower Delivery: by local Teleflora florist. Same Day. Guarantee.&lt;/p&gt;
&lt;p&gt;
	Please, familiarize with the &lt;a href=&quot;/delivery-terms-of-international-orders&quot; target=&quot;_blank&quot;&gt;Delivery terms of international orders&lt;/a&gt;. Pay attention that goods presented in section &quot;Gift Baskets&quot; are passed to shipping &lt;strong&gt;only together with flower production&lt;/strong&gt;.&lt;/p&gt;
&lt;p&gt;
&lt;script&gt;&lt;/script&gt;&lt;/p&gt;",,"Gift basket of sweets &quot;For Lovers&quot; Online - Presents Delivery to Minsk, Belarus and International.","Order gift basket 'Under Christmas Tree Gifts' online – Flower-shop.by – presents delivery to Minsk, Belarus and International.","Gift , Cakes, Sweets, Unique Presents, Fruit Baskets, Gift baskets, send gifts Belarus, gifts delivery Belarus, gifts Minsk, send gifts Minsk",0,Gift basket of sweets &quot;For Lovers&quot;,,,,,,
844,2,Gift Basket &quot; On Christmas Eve &quot;,"&lt;p&gt;
	&lt;strong&gt;Components: &lt;/strong&gt;Boxe of chocolates 200 gr., apples 0.5 kg, bananas 0.7 kg., orange 0.5 kg, lemon 0.3 kg, tangerines 0.5 kg  floral material, basket.&lt;br /&gt;
	&lt;strong&gt;Product name: &lt;/strong&gt;Gift Basket &quot; On Christmas Eve&quot; &lt;br /&gt;
	&lt;strong&gt;Product ID:&lt;/strong&gt; 10-19&lt;/p&gt;
&lt;p&gt;
	Service supplier location: Minsk, Belarus. International Flower Delivery: by local Teleflora florist. Same Day. Guarantee.&lt;/p&gt;
&lt;p&gt;
	Please, familiarize with the &lt;a href=&quot;/delivery-terms-of-international-orders&quot; target=&quot;_blank&quot;&gt;Delivery terms of international orders&lt;/a&gt;. Pay attention that goods presented in section &quot;Gift Baskets&quot; are passed to shipping &lt;strong&gt;only together with flower production&lt;/strong&gt;.&lt;/p&gt;
&lt;script&gt;&lt;/script&gt;",,"Order Gift Basket &quot;On Christmas Eve &amp;#9825;&quot; Online - Gifts Delivery to Minsk, Belarus and International","Order gift basket 'On Christmas Eve' online – Flower-shop.by – gifts delivery to Minsk, Belarus and International.","Gift , Cakes, Sweets, Unique Presents, Fruit Baskets, Gift baskets, send gifts Belarus, gifts delivery Belarus, gifts Minsk, send gifts Minsk",0,Gift Basket &quot; On Christmas Eve &amp;#9825;&quot;,,,,,,
844,1,Подарочная корзина &quot;В канун Рождества &quot;,"&lt;div&gt;
	&lt;p&gt;
		&lt;b&gt;Состав:&lt;/b&gt; коробка конфет 200 гр., мандарины 0.5 кг. , лимоны 0.3 кг., апельсины 0.5 кг., яблоки 0.5 кг., бананы 0.7 кг.  ( общий вес фруктов 2.5 кг.) , украшения, еловые ветки, шишки, красно-белый бант, корзина.&lt;br /&gt;
		&lt;b&gt;Номер товара:&lt;/b&gt;  Подарочная корзина &quot;В канун Рождества&quot; № 10-19.&lt;br /&gt;
		&lt;b&gt;Поставщик:&lt;/b&gt; ООО «Евроторг». Минск, Беларусь&lt;br /&gt;
		&lt;b&gt;Страна происхождения:&lt;/b&gt; подарочная корзина и упаковка  - Китай , продукты ( конфеты, фрукты) - Европейский Союз.&lt;/p&gt;
	&lt;p&gt;
		Пожалуйста, ознакомьтесь с &lt;a href=&quot;/pravila-dostavki-mezhdunarodnyh-zakazov&quot; target=&quot;_blank&quot;&gt;«Правилами международной доставки»&lt;/a&gt;.&lt;/p&gt;
	&lt;p&gt;
		Просим Вас обратить внимание, что товары представленные в разделе «Подарочные корзины» доставляются только &lt;b&gt;с цветочной продукцией&lt;/b&gt;.&lt;/p&gt;
&lt;/div&gt;",,"Купить подарочную корзину с фруктами и конфетами &quot;В канун Рождества &amp;#9825;&quot; с доставкой по Минску, Беларуси. Международная доставка.","Доставка подарочных корзин по Минску. Только свежие цветы, быстрый фидбек, качественная продукция. Sendflowers.by – цветы и подарки по Минску и по миру.","Корзины с фруктами и продуктами, подарки доставка, продукты на дом, фрукты, доставка продуктов, продуктовые корзины, доставка фруктов, доставка продуктов дом, корзины фруктов.",0,Подарочная корзина &quot;В канун Рождества &amp;#9825;&quot;,podarochnaya-korzina-v-kanun-rozhdestva-9825,,,,,
